"Year","Date","Season","Species","Mean Density","Seasonal Density Anomaly"
"1989","1989-04-01","sprg","CAAU","0.12","-0.04"
"1989","1989-07-01","summ","COPE","0.08","-0.03"
"1989","1989-04-01","sprg","LHSP","0.09","-0.02"
"1989","1989-04-01","sprg","COPE","0.02","-0.06"
"1989","1989-09-01","fall","CAAU","0.38","0.25"
"1989","1989-01-01","wint","COPE","0.01",""
"1989","1989-04-01","sprg","SOSH","3.09","2.2"
"1990","1990-01-01","wint","CAAU","0.09","-0.67"
"1990","1990-04-01","sprg","LHSP","0.08","-0.04"
"1990","1990-09-01","fall","CAAU","0.59","0.47"
"1990","1990-04-01","sprg","COPE","0.03","-0.05"
"1990","1990-07-01","summ","LHSP","1.68","1.15"
"1990","1990-07-01","summ","SOSH","4.1","1.05"
"1990","1990-01-01","wint","SOSH","0.01","-0.01"
"1990","1990-09-01","fall","LHSP","0.38","0.14"
"1990","1990-09-01","fall","COPE","","-0.01"
"1990","1990-01-01","wint","LHSP","0.05","-0.14"
"1990","1990-07-01","summ","CAAU","0.02","-0.02"
"1990","1990-01-01","wint","COPE","0.01",""
"1990","1990-04-01","sprg","SOSH","4.71","3.82"
"1990","1990-09-01","fall","SOSH","0.05","-0.14"
"1990","1990-07-01","summ","COPE","","-0.11"
"1990","1990-04-01","sprg","CAAU","0.47","0.31"
"1991","1991-07-01","summ","LHSP","1.1","0.57"
"1991","1991-07-01","summ","COPE","0.02","-0.1"
"1991","1991-09-01","fall","LHSP","0.93","0.68"
"1991","1991-09-01","fall","CAAU","0.01","-0.12"
"1991","1991-07-01","summ","CAAU","0.07","0.02"
"1991","1991-07-01","summ","SOSH","4.53","1.48"
"1991","1991-09-01","fall","COPE","0.01","0.01"
"1991","1991-01-01","wint","COPE","0.01",""
"1991","1991-01-01","wint","SOSH","0.02",""
"1991","1991-01-01","wint","CAAU","0.45","-0.32"
"1991","1991-09-01","fall","SOSH","0.27","0.08"
"1991","1991-01-01","wint","LHSP","0.18",""
"1992","1992-04-01","sprg","LHSP","0.27","0.15"
"1992","1992-07-01","summ","LHSP","1.41","0.88"
"1992","1992-07-01","summ","COPE","0.28","0.17"
"1992","1992-07-01","summ","SOSH","2.97","-0.07"
"1992","1992-01-01","wint","COPE","0.01",""
"1992","1992-09-01","fall","LHSP","0.78","0.53"
"1992","1992-04-01","sprg","COPE","0.07","-0.01"
"1992","1992-01-01","wint","CAAU","0.63","-0.13"
"1992","1992-09-01","fall","COPE","",""
"1992","1992-01-01","wint","LHSP","0.75","0.57"
"1992","1992-09-01","fall","SOSH","0.28","0.09"
"1992","1992-09-01","fall","CAAU","0.1","-0.03"
"1992","1992-01-01","wint","SOSH","0.02","0.01"
"1992","1992-07-01","summ","CAAU","0.14","0.09"
"1992","1992-04-01","sprg","SOSH","0.14","-0.75"
"1992","1992-04-01","sprg","CAAU","0.24","0.08"
"1993","1993-07-01","summ","COPE","0.13","0.02"
"1993","1993-04-01","sprg","COPE","0.06","-0.02"
"1993","1993-01-01","wint","COPE","0.02","0.01"
"1993","1993-01-01","wint","SOSH","0.01",""
"1993","1993-09-01","fall","CAAU","0.01","-0.11"
"1993","1993-07-01","summ","SOSH","0.18","-2.86"
"1993","1993-04-01","sprg","SOSH","0.35","-0.54"
"1993","1993-04-01","sprg","CAAU","0.19","0.03"
"1993","1993-09-01","fall","SOSH","0.01","-0.17"
"1993","1993-07-01","summ","CAAU","0.01","-0.04"
"1993","1993-01-01","wint","LHSP","0.33","0.15"
"1993","1993-01-01","wint","CAAU","1.31","0.55"
"1993","1993-07-01","summ","LHSP","0.71","0.18"
"1993","1993-04-01","sprg","LHSP","0.08","-0.03"
"1993","1993-09-01","fall","LHSP","0.46","0.21"
"1993","1993-09-01","fall","COPE","","-0.01"
"1994","1994-01-01","wint","SOSH","","-0.01"
"1994","1994-04-01","sprg","COPE","0.1","0.02"
"1994","1994-09-01","fall","SOSH","0.05","-0.14"
"1994","1994-04-01","sprg","CAAU","0.06","-0.1"
"1994","1994-09-01","fall","LHSP","0.09","-0.16"
"1994","1994-09-01","fall","CAAU","","-0.13"
"1994","1994-09-01","fall","COPE","0.01",""
"1994","1994-01-01","wint","LHSP","0.2","0.01"
"1994","1994-04-01","sprg","SOSH","0.32","-0.57"
"1994","1994-01-01","wint","COPE","0.02","0.01"
"1994","1994-04-01","sprg","LHSP","0.09","-0.02"
"1994","1994-01-01","wint","CAAU","1.28","0.52"
"1995","1995-01-01","wint","CAAU","0.18","-0.59"
"1995","1995-04-01","sprg","SOSH","0.14","-0.75"
"1995","1995-01-01","wint","LHSP","0.14","-0.04"
"1995","1995-09-01","fall","LHSP","0.41","0.16"
"1995","1995-07-01","summ","LHSP","0.61","0.08"
"1995","1995-07-01","summ","SOSH","0.5","-2.54"
"1995","1995-09-01","fall","SOSH","0.09","-0.1"
"1995","1995-01-01","wint","COPE","0.02","0.01"
"1995","1995-04-01","sprg","LHSP","0.03","-0.09"
"1995","1995-07-01","summ","COPE","0.16","0.05"
"1995","1995-09-01","fall","COPE","0.01",""
"1995","1995-04-01","sprg","CAAU","0.02","-0.14"
"1995","1995-04-01","sprg","COPE","0.04","-0.04"
"1995","1995-01-01","wint","SOSH","0.01",""
"1995","1995-07-01","summ","CAAU","0.04","-0.01"
"1995","1995-09-01","fall","CAAU","0.02","-0.1"
"1996","1996-04-01","sprg","COPE","0.01","-0.08"
"1996","1996-04-01","sprg","LHSP","0.04","-0.08"
"1996","1996-04-01","sprg","CAAU","0.12","-0.04"
"1996","1996-07-01","summ","CAAU","0.01","-0.04"
"1996","1996-09-01","fall","LHSP","0.09","-0.16"
"1996","1996-04-01","sprg","SOSH","0.92","0.03"
"1996","1996-07-01","summ","COPE","0.18","0.06"
"1996","1996-09-01","fall","COPE","0.01","0.01"
"1996","1996-07-01","summ","SOSH","5.76","2.72"
"1996","1996-07-01","summ","LHSP","0.31","-0.22"
"1996","1996-09-01","fall","CAAU","","-0.13"
"1996","1996-09-01","fall","SOSH","1.59","1.4"
"1997","1997-01-01","wint","SOSH","0.05","0.04"
"1997","1997-09-01","fall","COPE","","-0.01"
"1997","1997-09-01","fall","LHSP","0.12","-0.13"
"1997","1997-09-01","fall","SOSH","0.05","-0.13"
"1997","1997-09-01","fall","CAAU","","-0.13"
"1997","1997-07-01","summ","COPE","0.22","0.11"
"1997","1997-01-01","wint","CAAU","0.07","-0.7"
"1997","1997-01-01","wint","LHSP","0.19",""
"1997","1997-01-01","wint","COPE","",""
"1997","1997-07-01","summ","LHSP","0.21","-0.32"
"1997","1997-07-01","summ","CAAU","0.01","-0.04"
"1997","1997-07-01","summ","SOSH","2.88","-0.17"
"1998","1998-09-01","fall","COPE","","-0.01"
"1998","1998-07-01","summ","LHSP","0.24","-0.3"
"1998","1998-07-01","summ","CAAU","0.05",""
"1998","1998-07-01","summ","SOSH","4.27","1.22"
"1998","1998-01-01","wint","CAAU","0.3","-0.47"
"1998","1998-04-01","sprg","CAAU","0.15","-0.01"
"1998","1998-01-01","wint","LHSP","0.18","-0.01"
"1998","1998-04-01","sprg","LHSP","0.03","-0.09"
"1998","1998-09-01","fall","SOSH","0.4","0.21"
"1998","1998-04-01","sprg","COPE","0.34","0.26"
"1998","1998-09-01","fall","LHSP","0.09","-0.15"
"1998","1998-04-01","sprg","SOSH","0.32","-0.57"
"1998","1998-07-01","summ","COPE","0.06","-0.05"
"1998","1998-01-01","wint","SOSH","0.02","0.01"
"1998","1998-01-01","wint","COPE","","-0.01"
"1998","1998-09-01","fall","CAAU","","-0.13"
"1999","1999-07-01","summ","COPE","0.03","-0.08"
"1999","1999-04-01","sprg","LHSP","0.07","-0.04"
"1999","1999-04-01","sprg","CAAU","0.02","-0.13"
"1999","1999-07-01","summ","CAAU","0.06","0.01"
"1999","1999-04-01","sprg","SOSH","0.41","-0.48"
"1999","1999-09-01","fall","CAAU","","-0.12"
"1999","1999-04-01","sprg","COPE","0.04","-0.04"
"1999","1999-07-01","summ","LHSP","0.21","-0.32"
"1999","1999-09-01","fall","LHSP","0.12","-0.13"
"1999","1999-09-01","fall","SOSH","0.02","-0.17"
"1999","1999-07-01","summ","SOSH","4.02","0.98"
"1999","1999-09-01","fall","COPE","","-0.01"
"2000","2000-07-01","summ","CAAU","","-0.05"
"2000","2000-07-01","summ","LHSP","0.28","-0.25"
"2000","2000-07-01","summ","COPE","0.03","-0.08"
"2000","2000-09-01","fall","CAAU","","-0.13"
"2000","2000-09-01","fall","COPE","",""
"2000","2000-09-01","fall","SOSH","0.01","-0.17"
"2000","2000-04-01","sprg","COPE","0.22","0.14"
"2000","2000-04-01","sprg","LHSP","0.09","-0.03"
"2000","2000-04-01","sprg","CAAU","0.02","-0.14"
"2000","2000-09-01","fall","LHSP","0.13","-0.11"
"2000","2000-04-01","sprg","SOSH","0.64","-0.25"
"2000","2000-07-01","summ","SOSH","1.36","-1.68"
"2001","2001-09-01","fall","CAAU","0.01","-0.12"
"2001","2001-09-01","fall","SOSH","0.11","-0.07"
"2001","2001-07-01","summ","CAAU","","-0.05"
"2001","2001-01-01","wint","LHSP","0.24","0.05"
"2001","2001-04-01","sprg","SOSH","0.52","-0.37"
"2001","2001-07-01","summ","LHSP","0.25","-0.28"
"2001","2001-07-01","summ","SOSH","1.38","-1.67"
"2001","2001-01-01","wint","COPE","","-0.01"
"2001","2001-09-01","fall","COPE","","-0.01"
"2001","2001-01-01","wint","CAAU","0.68","-0.08"
"2001","2001-04-01","sprg","CAAU","0.01","-0.15"
"2001","2001-01-01","wint","SOSH","0.03","0.02"
"2001","2001-04-01","sprg","COPE","0.05","-0.03"
"2001","2001-04-01","sprg","LHSP","0.08","-0.04"
"2001","2001-09-01","fall","LHSP","0.29","0.04"
"2001","2001-07-01","summ","COPE","","-0.11"
"2002","2002-01-01","wint","SOSH","","-0.01"
"2002","2002-09-01","fall","CAAU","0.17","0.05"
"2002","2002-07-01","summ","COPE","0.24","0.13"
"2002","2002-09-01","fall","LHSP","0.11","-0.14"
"2002","2002-04-01","sprg","CAAU","0.16",""
"2002","2002-09-01","fall","COPE","0.02","0.02"
"2002","2002-04-01","sprg","LHSP","0.08","-0.04"
"2002","2002-07-01","summ","SOSH","2.74","-0.31"
"2002","2002-07-01","summ","CAAU","0.03","-0.01"
"2002","2002-07-01","summ","LHSP","0.37","-0.17"
"2002","2002-04-01","sprg","COPE","","-0.08"
"2002","2002-01-01","wint","CAAU","0.06","-0.7"
"2002","2002-09-01","fall","SOSH","0.03","-0.16"
"2002","2002-04-01","sprg","SOSH","0.01","-0.88"
"2002","2002-01-01","wint","LHSP","0.07","-0.12"
"2002","2002-01-01","wint","COPE","","-0.01"
"2003","2003-07-01","summ","COPE","0.24","0.13"
"2003","2003-04-01","sprg","COPE","0.04","-0.04"
"2003","2003-01-01","wint","COPE","","-0.01"
"2003","2003-04-01","sprg","CAAU","","-0.16"
"2003","2003-09-01","fall","CAAU","0.02","-0.11"
"2003","2003-09-01","fall","COPE","",""
"2003","2003-04-01","sprg","SOSH","0.08","-0.8"
"2003","2003-09-01","fall","SOSH","","-0.18"
"2003","2003-07-01","summ","CAAU","","-0.05"
"2003","2003-01-01","wint","LHSP","0.13","-0.06"
"2003","2003-04-01","sprg","LHSP","0.39","0.27"
"2003","2003-01-01","wint","CAAU","0.33","-0.44"
"2003","2003-07-01","summ","SOSH","0.01","-3.04"
"2003","2003-07-01","summ","LHSP","0.41","-0.13"
"2003","2003-09-01","fall","LHSP","0.09","-0.16"
"2003","2003-01-01","wint","SOSH","","-0.01"
"2004","2004-01-01","wint","CAAU","0.53","-0.24"
"2004","2004-04-01","sprg","SOSH","","-0.89"
"2004","2004-09-01","fall","SOSH","0.02","-0.16"
"2004","2004-04-01","sprg","COPE","0.01","-0.07"
"2004","2004-07-01","summ","CAAU","0.02","-0.03"
"2004","2004-07-01","summ","COPE","0.14","0.03"
"2004","2004-07-01","summ","LHSP","0.34","-0.19"
"2004","2004-01-01","wint","LHSP","0.07","-0.11"
"2004","2004-09-01","fall","LHSP","0.04","-0.2"
"2004","2004-07-01","summ","SOSH","0.23","-2.81"
"2004","2004-01-01","wint","SOSH","","-0.01"
"2004","2004-09-01","fall","CAAU","0.03","-0.1"
"2004","2004-04-01","sprg","CAAU","0.04","-0.12"
"2004","2004-09-01","fall","COPE","","-0.01"
"2004","2004-04-01","sprg","LHSP","0.04","-0.08"
"2004","2004-01-01","wint","COPE","","-0.01"
"2005","2005-01-01","wint","SOSH","","-0.01"
"2005","2005-07-01","summ","SOSH","","-3.04"
"2005","2005-01-01","wint","COPE","",""
"2005","2005-07-01","summ","COPE","0.11",""
"2005","2005-09-01","fall","COPE","",""
"2005","2005-01-01","wint","CAAU","0.54","-0.23"
"2005","2005-04-01","sprg","LHSP","0.18","0.06"
"2005","2005-09-01","fall","LHSP","0.22","-0.03"
"2005","2005-07-01","summ","CAAU","0.14","0.1"
"2005","2005-07-01","summ","LHSP","0.14","-0.4"
"2005","2005-04-01","sprg","COPE","0.18","0.1"
"2005","2005-04-01","sprg","SOSH","0.03","-0.86"
"2005","2005-09-01","fall","CAAU","0.51","0.38"
"2005","2005-09-01","fall","SOSH","0.01","-0.18"
"2005","2005-01-01","wint","LHSP","0.13","-0.05"
"2005","2005-04-01","sprg","CAAU","0.93","0.77"
"2006","2006-09-01","fall","CAAU","0.02","-0.1"
"2006","2006-01-01","wint","CAAU","0.63","-0.14"
"2006","2006-07-01","summ","CAAU","0.2","0.15"
"2006","2006-09-01","fall","COPE","0.01",""
"2006","2006-04-01","sprg","CAAU","0.08","-0.08"
"2006","2006-07-01","summ","COPE","0.09","-0.02"
"2006","2006-09-01","fall","SOSH","","-0.19"
"2006","2006-01-01","wint","LHSP","0.17","-0.02"
"2006","2006-07-01","summ","LHSP","0.33","-0.2"
"2006","2006-04-01","sprg","LHSP","0.27","0.15"
"2006","2006-04-01","sprg","COPE","0.14","0.06"
"2006","2006-09-01","fall","LHSP","0.19","-0.06"
"2006","2006-07-01","summ","SOSH","2.08","-0.96"
"2006","2006-01-01","wint","COPE","0.01","0.01"
"2006","2006-04-01","sprg","SOSH","0.07","-0.82"
"2006","2006-01-01","wint","SOSH","","-0.01"
